ident,name,type,latitude_d,longitude_,elevation_,LLG_Name,District_Name,Prov_name,Surveyed,strip_type,takeoff_direction,season,width,length,slope,co_ords,elevation_pb,elevation_th,spl_hz,spl_side,spl2_hz,spl2_side,side_slp,clw_1,clw_2,clw_3,clw2_1,clw2_2,clw2_3,dist_obst,dist2_obst,dsc,dsc2,surf_cvr,soil_typ,soil_moist,surf_hdn,surf_rgh,surf_und,surf_com,wind_pr,wind_set,wind_cond,cone_1,cone_2,cone_no,cone_wt,cone_yl,oth_com
AYSX,Masa Airport,small_airport,-6.345,147.591,5900,Sialum Rural LLG,Tawae/Siassi District,Morobe Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG-0083,Matkomnae Airstrip,small_airport,-5.817,141.1614,170,Ningerum Rural LLG,North Fly District,Western Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYRV,May River Airstrip,small_airport,-4.3615,141.785,107,Tunap/Hustein LLG,Ambunti/Drekikier District,East Sepik Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYEK,Membok Airstrip,small_airport,-6.4744,141.019,54,Kiunga Rural LLG,North Fly District,Western Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYMN,Mendi Airport,medium_airport,-6.14774,143.656998,5680,Mendi Urban LLG,Mendi/Munihu District,Southern Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYEG,Mengina Airstrip,small_airport,-6.4836,144.986,4224,Karimui Rural LLG,Karimui/Nomane District,Chimbu (Simbu) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYX,Menyamya Airport,small_airport,-7.211666667,146.0193611,3880,Kome Rural LLG,Menyamya District,Morobe Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYes,Meselia Airport,small_airport,-6.1364,149.1183,180,Kandrian Coastal Rural LLG,Kandrian/Gloucester District,West New Britain Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYEI,Milei Airstrip,small_airport,-9.0794,147.602,2160,Koiari Rural LLG,Kairuku - Hiri District,Central Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXK,Mindik Airport,small_airport,-6.471666667,147.4411389,4200,Burum Kwat LLG,Finschafen District,Morobe Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
